# link of vertex 1 in cp2_10; 27 facets on vertices [2, 3, 4, 5, 6, 7, 8, 9, 10]
2,3,5,7
2,3,5,8
2,3,7,8
2,4,5,9
2,4,5,10
2,4,9,10
2,5,6,8
2,5,6,9
2,5,7,10
2,6,7,8
2,6,7,10
2,6,9,10
3,4,6,8
3,4,6,10
3,4,8,10
3,5,6,8
3,5,6,9
3,5,7,9
3,6,9,10
3,7,8,9
3,8,9,10
4,5,7,9
4,5,7,10
4,6,7,8
4,6,7,10
4,7,8,9
4,8,9,10
# minimal nonfaces (generators of the Stanley--Reisner ideal):
# MNF 2,3,4
# MNF 2,3,6
# MNF 2,3,9
# MNF 2,3,10
# MNF 2,4,6
# MNF 2,4,7
# MNF 2,4,8
# MNF 2,7,9
# MNF 2,8,9
# MNF 2,8,10
# MNF 3,4,5
# MNF 3,4,7
# MNF 3,4,9
# MNF 3,5,10
# MNF 3,6,7
# MNF 3,7,10
# MNF 4,5,6
# MNF 4,5,8
# MNF 4,6,9
# MNF 5,6,7
# MNF 5,6,10
# MNF 5,7,8
# MNF 5,8,9
# MNF 5,8,10
# MNF 5,9,10
# MNF 6,7,9
# MNF 6,8,9
# MNF 6,8,10
# MNF 7,8,10
# MNF 7,9,10
