# link of vertex 9 in cp2_9; 20 facets on vertices [1, 2, 3, 4, 5, 6, 7, 8]
1,2,3,7
1,2,3,8
1,2,4,5
1,2,4,7
1,2,5,8
1,3,5,6
1,3,5,7
1,3,6,8
1,4,5,7
1,5,6,8
2,3,4,6
2,3,4,8
2,3,6,7
2,4,5,8
2,4,6,7
3,4,6,8
3,5,6,7
4,5,7,8
4,6,7,8
5,6,7,8
# minimal nonfaces (generators of the Stanley--Reisner ideal):
# MNF 1,2,6
# MNF 1,3,4
# MNF 1,4,6
# MNF 1,4,8
# MNF 1,6,7
# MNF 1,7,8
# MNF 2,3,5
# MNF 2,5,6
# MNF 2,5,7
# MNF 2,6,8
# MNF 2,7,8
# MNF 3,4,5
# MNF 3,4,7
# MNF 3,5,8
# MNF 3,7,8
# MNF 4,5,6
